text,score
"  Tokyo Narita to Singapore. I have flown ANA several times on both economy and premium economy cabin and it is a seemless ride, wonderful service from both ground and inflight crews.  You really get the feeling that ANA staff care about their clients. Food is delicious, great quality of wines, IFE with plenty of choices. The 2x4x3 configuration is the best layout I ever saw on a Boeing 777. Only downside is how the Y seat reclines, instead of your back reclining, it is your hips that slide forwards hence reducing your leg room. Hard to describe but the economy seat isn't reclining the traditional way thus making it a biy uncomfortable, and I decided not to recline. The premium economy seats recline well. Besides that ANA is a well deserved 5-Star airline.",1
"  Despite the age of the plane, the refreshed economy interior was a big upgrade despite its 10 abreast layout. For someone that is relatively compact, the seat felt perfect and the usable seat width doesn't feel too bad. The only complaint is the unresponsive IFE screen. The seat phone tray is genius and the folded tray table is the best. The cabin crew were were able to move meals around the trolleys between cabins and all options were available. The only issue with the IFE is that the touch screen technology is old and the screen was sometimes completely unresponsive or hanged and you had to be patient for it to reload. On my return flight, it seemed to be slightly better.",1
"  Munich to Istanbul.  The plane took off almost 40 minutes late; no explanation, no apology. The cabin was clean and modern, legroom bearable, seat pitch uncomfortable, plane fully booked, cabin overheated. We had tried to stay within limitations for hand luggage but found out that nobody else bothered. Cabin staff stressed and unsmiling, delivering uncoordinated service, running back and forth with the trolleys, standing in each other´s way,  and forgetful if you ordered anything extra. Cabin announcements erratic language-wise, sometimes in Turkish, English, German, sometimes in Turkish, English; English announcements hard to understand. Personal IFE didn't provide 3D-maps. Food quite eatable but served lukewarm. After landing at Ataturk airport (breathtaking views of the city during approach!), erratic announcements that didn´t bother to mention the local time. Ataturk airport is a surprise in that it is overcrowded but still manages to operate immigration and customs quite swiftly (Munich take note!). I usually enjoy flying but this was the first time I couldn't wait to get off a plane. ",0
" Hong Kong to Paris via Dubai with Emirates. Had great 6 days stopover in Dubai. Value for money! The best entertainment system on board for sure. Loved their live TV, but unfortunately it is not available on all flights. Meals are just okay, service is slow and disorganized. They take out blankets and headsets from the people 40 minutes before landing, while people moving to the toilets up and down aisles and it creates such a mess in the cabin. ",1
" Gold member on EK but decided to fly with Cathay from Singapore to Vancouver via Hong Kong and back. Influenced by the pricing strategy of the airline which is to entice passengers from countries in the Far East to travel to YVR with Cathay. Very much regret the choice. Noted a big deficiency in the airline’s punctuality and the casualness of ground staff. Not an airline to use if the connecting time is short. Outbound flight from SIN to HKG was delayed, meaning that the 2+ hours connecting time vanished. All connecting passengers (about 10 of us) had to literally sprint in HKIA to catch the YVR flight. On the inbound flight from YVR to HKG, an initial delay of 1 hour was announced. Despite the fact that connecting time in HKG was only 1 hour 15 minutes, the ground staff gave full assurance that the plane would make up for the lost time. Alas, with a delay of more than 2 hours to depart from YVR, the connecting flight HKG-SIN was missed. After a gruelling 12 hour flight from YVR plus the delay of 2 hours, I had to wait for another 5 hours in HKG to catch the next flight to SIN. As a souvenir, a meal voucher was offered!",0
"  My experience was less convincing. The reservation line was always busy and it takes ages to get through. The seat is large and comfortable to sit, but to sleep it is not comfortable at all: too hard, too narrow footrest and you sleep in a diagonal position which is awkward. I could not sleep at all during the whole flight. And the food was really bad: very tough meat, overcooked and bad taste. Worst food I had in a long time. Staff is friendly but not efficient, sometimes it takes ages to get some water or bread etc. Overall really disappointing experience. A pity as they used to be good some years ago. In any case I will not chose them again. ",0
" Would probably never recommend this airline to anyone. While their staff are nice and did tried to accommodate us, it made absolutely no sense that we are put on two separate seats again. Twice! First time, they were able to change our seats and this time they just say ""sorry it's full"". We even checked in 23 hours ahead and were unable to grab any seats together. Upsetting to have to sit next to random people.",0
"  New business class Suite III is inferior to the Suite II - the area where your feet / legs go tapers off. So if you are a tall person you are going to struggle to bend to the space. When the seat is not in full decline there is no support under your legs - from the seat to the feet area. This means you are going to be constantly trying to find a comfortable position if working / eating or not in full decline. - when you are partially reclined and have the table down it is quite small. The Suite II seat was superior (especially the window seat) on privacy and just in regards to the actual seat. No issues with the recline position/support or table. The flight attendants aren't trained to look at the list of who is a frequent flyer with their own airline. I am a Diamond flyer (the top frequent flyer status) and still watch in amusement that my Japanese wife gets a 'thank you for joining us again today. Thank you for on-going support'. In the meantime, me, a non-Japanese person, get no acknowledgement at all! (I have only been acknowledged about my status less than five times in all). This time - I got... 'You want the Japanese menu of course - that is why you chose to fly with a Japanese airline right? Is it your first time to Japan?' Ask your cabin crew to check the passenger list of non-Japanese travellers. If they are a JAL frequent flyer - then acknowledge them like you do with the Japanese. On arrival into Japan my flight was late (due to the flight arriving in Sydney late) due to the aircraft having trouble in Japan. I was not assisted to get to the next flight to Osaka even though the later flight had over an hour to go until departure I got that flight is already boarded - a domestic flight boarding an hour before departure? Instead, I was put on the Kansai Osaka flight and arrived at 2am in the morning instead of 8.30pm. Ground crew didn't even try and didn't have a 'can do - let's fix our mistake attitude'. Food out of Japan is good. Out of Sydney, it is not good! The quality is lacking. I recommend the western dish out of Sydney and then the Japanese dish out of Japan. Inflight entertainment  is an old system and the choice is OK for a couple of flights. You will struggle to find choice if going on more than a couple of flights a month.  The technology on the handset is very 2000s. The screen in business and economy are good. WIFI drops in and out - but it is normal on all airlines. Good enough to work and get things done. ",0
"  Had a great flight from Paris to San Fransisco. Had a ""hop"" flight and connected through Paris. Boarding was not that quick though. Had to wait a few minutes in the airbridge which was kind of hot. Seat room was good, a bit larger than KLM and Delta on long haul flights. Cabin staff came by almost every hour with drinks. Food was the best I have had on economy during a flight, time went by really fast for my opinion. I would fly with AF again!",1
"   Check-in was a bit confusing (airport is going through some big renovations, I guess not AF fault). Boarding was on-time but the plane had to wait for ""something"" on tarmac for almost an hour. Pilot made bilingual announcements regarding the delay though the English-version was incomprehensible. He even made mistake regarding the destination we are flying to (Paris Orly rather than Paris CDG, though crew rectify the mistake). Crew was very polite and smiley (as always with AF). Once airborne, we were served drinks and coffee with a small cookie. It was perfectly adequate for such a short flight. We landed 45 minutes late. ",1
